frecuencia_uso_ia,uso_para_codigo,uso_para_teoria,dependencia_ia,promedio_acumulado,nota_algoritmos,nota_bases_datos,horas_estudio_semana,aprendizaje_activo,proyectos_personales,preparacion_laboral
Nunca,0,1,Media,4.475057552485256,3.5530600402425323,4.299278319616868,32.30104349050106,Alto,1,1
A_veces,0,0,Baja,4.469573346942651,4.84571362950358,4.127637379599813,16.779201893227206,Alto,1,1
Frecuente,0,1,Media,3.270795348314998,3.177855664320507,3.8813707784682028,5.769524811865659,Bajo,0,0
A_veces,1,0,Baja,4.6566120523742445,4.924299812175433,3.746910388034283,28.583214133749635,Alto,1,0
Frecuente,1,0,Alta,3.112653136301315,4.344369294855121,3.2914410625701813,7.705199984245684,Bajo,0,1
A_veces,1,1,Media,2.668770541871742,4.056917582504015,4.326013192865889,14.618817870452192,Bajo,0,0
A_veces,0,0,Baja,3.9948294204120725,4.444892968756978,4.566379035096372,21.0411448848876,Alto,1,0
Nunca,0,0,Baja,4.085710610895929,4.525560845789851,4.122629474451465,26.602969182726284,Alto,1,1
Frecuente,0,1,Baja,4.732940194133875,5.0,4.837487437601611,16.664388706057107,Alto,1,1
Frecuente,0,1,Media,3.250724572646474,3.139683128230507,3.6713427086694326,16.307287564241022,Medio,0,0
Frecuente,0,0,Baja,3.742283920891511,4.7605583053861835,4.835029522756346,24.188393210448616,Alto,1,1
Frecuente,0,0,Media,4.262365918717328,4.442276788796963,4.646451876572887,18.1520139126728,Alto,1,1
Nunca,0,1,Alta,3.46426938733701,2.9855548650280745,3.443661841963322,8.83353123179021,Medio,0,0
Frecuente,1,0,Baja,4.014325120044852,4.260370660931896,4.458046253204018,24.12662218054546,Alto,1,1
Frecuente,0,0,Baja,4.364321370868308,4.691835294901365,4.1534797083100345,27.238521479680696,Alto,1,1
A_veces,1,0,Alta,4.093258343664067,3.8436531892704733,4.088662021369209,2.04148745371865,Medio,0,0
Frecuente,0,1,Alta,3.650618103810796,3.431212272553528,3.2637050108493377,21.306991934243364,Bajo,0,0
Frecuente,0,1,Baja,4.529648894751851,3.845096072202595,5.0,25.595062801488414,Medio,1,1
Frecuente,0,0,Baja,4.6291726998325045,4.89573869972545,4.447633486776019,31.98506727778856,Alto,1,1
Frecuente,0,0,Media,3.5954339247072036,3.6339366359310605,3.317242136537831,10.426644750690556,Bajo,0,0
Nunca,1,0,Alta,3.498129191359693,3.176395264986043,3.2813134978065124,13.314723333725183,Bajo,0,0
A_veces,1,0,Baja,3.6937143533355985,4.148855322150617,4.782675172484927,30.75788195569856,Alto,1,1
Nunca,0,1,Media,4.371034462205141,4.806753059296349,3.8405959644115413,19.124765695877503,Alto,1,1
A_veces,1,0,Alta,3.4504905678915088,3.3988957221458103,3.357989019211937,7.997534734843021,Bajo,0,0
Nunca,0,0,Alta,4.2576139064524945,3.6190210451363223,3.215605832276562,17.74529467869613,Medio,0,0
Nunca,0,1,Alta,2.966924074666177,3.4844499309713104,3.148359408497696,5.77635997159323,Bajo,0,0
Nunca,0,0,Media,4.476374691039762,3.7910866605853335,4.832357942402853,27.06231619032587,Alto,1,1
Frecuente,1,0,Baja,4.042464655509842,4.387169791178909,4.3770598764954585,29.25563648020944,Alto,1,1
Nunca,1,0,Baja,4.211388521058459,4.710053591920563,4.613759728901513,14.859059153757729,Alto,1,1
Frecuente,1,0,Baja,4.52364445320796,4.780167180242548,4.684177963694528,21.540687206727878,Alto,1,1
Nunca,1,1,Alta,3.79367160078456,3.690313915122425,4.145937645706829,7.585642731136916,Bajo,0,1
Nunca,0,0,Media,3.7007694999235103,3.4101808681207064,3.5658889583058095,4.993842303238224,Bajo,0,0
Frecuente,0,0,Baja,4.754246168308296,3.8992752673388664,3.8176686161031217,33.520365416589804,Alto,1,1
A_veces,1,0,Baja,3.9504324454315882,4.425985742411734,4.231281096429771,16.809154575432082,Alto,1,1
Nunca,0,1,Baja,5.0,4.498723721580933,4.496914505442718,18.44415300924199,Alto,1,1
Nunca,1,1,Media,3.686246819745114,3.715431462270349,3.4170472924531956,14.399777651869893,Bajo,0,0
Frecuente,0,0,Baja,4.398458230227947,4.28766518715322,4.784692643293206,28.690916077037457,Alto,1,1
Nunca,1,1,Alta,3.8506985777340246,3.4128625480323245,3.3181351022630006,11.90258163095607,Medio,0,0
A_veces,1,0,Baja,4.011353216656214,4.583235709190712,4.655284252244954,25.290331125424636,Alto,1,1
A_veces,1,0,Baja,4.296070004773866,4.110360146740893,4.562850251005749,29.210541860956134,Alto,1,1
Nunca,0,1,Media,4.393729429895921,4.606374675932343,4.464297760341715,25.408221586057188,Alto,1,1
Nunca,1,1,Baja,4.2635852558340455,5.0,3.9185993705658633,28.316610120529724,Alto,1,1
Nunca,1,1,Baja,4.288850529425519,4.699614591522006,3.9358861106446525,28.013593207068602,Alto,1,1
Frecuente,0,1,Alta,3.301278364160615,3.3199110541615835,3.8034094567224153,2.715284040868813,Medio,0,0
Frecuente,1,1,Baja,4.562053726241103,4.179223685160914,4.274374864864088,15.070050425846762,Alto,1,0
Nunca,1,1,Baja,4.867757986760761,5.0,4.2577306191122215,32.091341952141995,Alto,1,1
