,Media,Mediana,Moda
ingresos_totales,133405186368.00845,108595792209.69601,58382366064.33834
gastos_personal,71482010995.41713,57975311689.14288,31717384437.46397
liquidez,1.3676390498054387,1.340552987075359,0.772001314366346
dias_efectivo,95.21197469301976,97.9081739859224,40.50935480394774
cfo,5704602014.158118,6335817431.093542,-38417592441.7319
participacion_ley30,0.3258455413396877,0.32288956382199097,0.2031915578991444
participacion_regalias,0.06213757629082822,0.0621522286533225,0.0191580716900915
participacion_servicios,0.21193502664813835,0.2128739307332966,0.0800705447269637
participacion_matriculas,0.1788323868007406,0.178637961592755,0.0777178158372856
hhi_fuentes,0.25164192453172335,0.2479175151065036,0.2187606750549695
endeudamiento,0.3912251957105768,0.38836063440573587,0.2294584816879209
tendencia_ingresos,0.030440109436001218,0.0294609259791408,-0.06663316454045
gp_ratio,0.5345933990988903,0.5323889153582657,0.4229328302642771
