anio,unidad,ingresos_totales,gastos_personal,liquidez,dias_efectivo,cfo,participacion_ley30,participacion_regalias,participacion_servicios,participacion_matriculas,hhi_fuentes,endeudamiento,tendencia_ingresos,gp_ratio,label,cluster_kmeans,cluster_dbscan,cluster_subtractive,cluster_fcm,fcm_mu_cluster_0,fcm_mu_cluster_1,fcm_mu_cluster_2,fcm_mu_cluster_3,fcm_mu_cluster_4,fcm_mu_cluster_5,fcm_mu_cluster_6,fcm_mu_cluster_7,fcm_mu_cluster_8,fcm_mu_cluster_9,fcm_mu_cluster_10,fcm_mu_cluster_11,fcm_mu_cluster_12,fcm_mu_cluster_13,fcm_mu_cluster_14,fcm_mu_cluster_15,fcm_mu_cluster_16,fcm_mu_cluster_17,fcm_mu_cluster_18,fcm_mu_cluster_19,fcm_mu_cluster_20,fcm_mu_cluster_21,fcm_mu_cluster_22,fcm_mu_cluster_23,fcm_mu_cluster_24,fcm_mu_cluster_25,fcm_mu_cluster_26,fcm_mu_cluster_27,fcm_mu_cluster_28,fcm_mu_cluster_29,fcm_mu_cluster_30,fcm_mu_cluster_31,fcm_mu_cluster_32,fcm_mu_cluster_33,fcm_mu_cluster_34,fcm_mu_cluster_35,fcm_mu_cluster_36,fcm_mu_cluster_37,fcm_mu_cluster_38,fcm_mu_cluster_39,fcm_mu_cluster_40,fcm_mu_cluster_41,fcm_mu_cluster_42,fcm_mu_cluster_43,fcm_mu_cluster_44,fcm_mu_cluster_45,fcm_mu_cluster_46,fcm_mu_cluster_47,fcm_mu_cluster_48,fcm_mu_cluster_49,fcm_mu_cluster_50,fcm_mu_cluster_51,fcm_mu_cluster_52,fcm_mu_cluster_53,fcm_mu_cluster_54,fcm_mu_cluster_55,fcm_mu_cluster_56,fcm_mu_cluster_57,fcm_mu_cluster_58,fcm_mu_cluster_59,fcm_mu_cluster_60,fcm_mu_cluster_61,fcm_mu_cluster_62,fcm_mu_cluster_63,fcm_mu_cluster_64,fcm_mu_cluster_65,fcm_mu_cluster_66,fcm_mu_cluster_67,fcm_mu_cluster_68,fcm_mu_cluster_69,fcm_mu_cluster_70,fcm_mu_cluster_71,fcm_mu_cluster_72,fcm_mu_cluster_73,fcm_mu_cluster_74,fcm_mu_cluster_75,fcm_mu_cluster_76,fcm_mu_cluster_77,fcm_mu_cluster_78,fcm_mu_cluster_79
2016,Facultad de Ingeniería,184908925565.2797,78204055230.45029,1.8052943056192088,93.5744253904058,4134823981.829304,0.3641489249025996,0.0298741057216381,0.1910699874015732,0.246057461483886,0.2590590767077234,0.3456869896915058,0.0321727706847118,0.4229328302642771,0,1,-1,30,30,1.9682879572762276e-33,2.1541016027952636e-33,2.881514609127307e-33,1.5753903001915244e-33,9.297242790162937e-34,2.9593440068993836e-33,1.1046336006372833e-33,1.2679848721565456e-33,1.7848435908212616e-33,1.1288479439882804e-33,1.3965889583001612e-33,1.2165000667994488e-33,8.182132639083783e-34,2.172736913659934e-33,1.5497642454239208e-33,1.842981658219197e-33,1.416060165180486e-33,1.1399078043980449e-33,1.0557102330732454e-33,6.343490280888619e-34,7.593354386378731e-34,1.0358867500556018e-33,1.002044568773001e-33,8.178353037951756e-34,1.6802697336038662e-33,1.5547860956322276e-33,3.5309372618710564e-33,1.4141226081320525e-33,7.21857844995477e-34,2.5457229858704697e-33,1.0,1.700099266191658e-33,1.2451082485769873e-33,1.1071142847698968e-33,9.96331414171836e-34,1.174348603412699e-33,1.5462175586423203e-33,8.691171182586263e-34,1.4416141912434482e-33,1.2325949117364736e-33,1.4558180459383114e-33,1.6261403864422178e-33,1.1974391715944382e-33,1.0108627028769439e-33,1.0076192022520621e-33,1.142008814013875e-33,1.7150893596897024e-33,1.6530207013478796e-33,1.468981469330856e-33,1.3346337298971686e-33,2.133634139333108e-33,1.2849544902816214e-33,1.0114029786536692e-33,9.907967063763845e-34,1.3382665416309583e-33,9.432027049262532e-34,1.4791399384461692e-33,1.3186399889644629e-33,1.0884971353264426e-33,1.5969314856346933e-33,2.0452219500040396e-33,1.6667136797990618e-33,1.5632036912978838e-33,1.1414591236608496e-33,1.4945984028781488e-33,1.5578679214209836e-33,1.576648014535751e-33,1.6233250204447824e-33,2.0731799725042092e-33,1.2156253721817862e-33,1.675175038440103e-33,2.4655273718435437e-33,1.5097652925765255e-33,1.4232444301889331e-33,1.2563072812889627e-33,1.487876986467707e-33,1.5792547627543105e-33,2.9953611518475752e-33,1.197819894068923e-33,1.805435699112435e-33
2017,Facultad de Ingeniería,166353159058.12463,89905141605.03621,1.7188302992282547,74.76548533220137,4558966627.773841,0.3232824362190741,0.1041186016545091,0.3293393044486893,0.2201621559151551,0.2728214637178576,0.4429894860716994,0.0300460959734695,0.5404474559669943,1,1,-1,48,48,1.5258106777803627e-33,2.1724935040154006e-33,2.240312388693681e-33,1.8802377046893923e-33,1.1829114223640368e-33,1.879660112764458e-33,1.4394210812283831e-33,1.4994537607003005e-33,1.460918547433817e-33,1.4227950536971042e-33,1.739762653710754e-33,1.6927401948631754e-33,1.40065299814458e-33,3.451374850906383e-33,1.3137865947800792e-33,1.1012528995984154e-33,1.3831903010382073e-33,9.431568446655516e-34,1.4094657692973264e-33,8.461943635087655e-34,9.83685235528681e-34,1.1365477531460735e-33,2.3916290222298632e-33,1.2338001833338774e-33,1.3862841330651649e-33,1.1157934250405454e-33,1.9859999875321052e-33,1.1914650959522671e-33,1.1039930298501735e-33,1.6661290157646136e-33,1.468981469330856e-33,1.0702622179586603e-33,1.1881805095556626e-33,2.187602341718504e-33,9.80622578734537e-34,1.6185529301782278e-33,1.7594046924915643e-33,1.4686369728947178e-33,1.0759492138348402e-33,1.5531918466363998e-33,1.0610331588787396e-33,1.751450050581501e-33,1.4706060984323288e-33,1.7355487778286743e-33,1.671702755103616e-33,1.3925217646399316e-33,1.8154245798398392e-33,9.778097134177821e-34,1.0,1.9665307482257406e-33,1.0404157250669146e-33,1.260451471374368e-33,1.7140433922102497e-33,1.9571290915575726e-33,2.439580910264007e-33,1.2650013694238225e-33,2.763356606268067e-33,1.6000059084244453e-33,1.1353565459989187e-33,1.437044714125385e-33,1.4190644538774663e-33,1.758964713978301e-33,1.8710441649780944e-33,1.4442672677557863e-33,1.26537095633743e-33,1.946684563328913e-33,1.3694109764952827e-33,2.0244733347699455e-33,1.6711499258275912e-33,1.2518226261782333e-33,1.3294913229579353e-33,3.982868215114779e-33,1.9008100978760884e-33,2.511276663337563e-33,1.5097684298456028e-33,1.6313181383221985e-33,1.742513770145542e-33,1.925976229369733e-33,1.6584301203705413e-33,1.7633502855307714e-33
2018,Facultad de Ingeniería,162984532328.04852,81819035583.14615,1.323888653539236,98.43431030597569,-17233736179.580048,0.2969122552070157,0.054887612589388,0.0800705447269637,0.1091386758196061,0.3201647369841567,,-0.0430214165487475,0.5020049106160833,1,1,-1,17,17,1.262812379331313e-33,1.1584571767555572e-33,1.021774865780073e-33,1.1227912794962582e-33,1.0187582021413722e-33,1.3711117682696094e-33,8.516309146906055e-34,1.3576465885274012e-33,1.4172769530901703e-33,8.103283319427118e-34,8.888135237565129e-34,8.948608273099247e-34,7.308786264425542e-34,9.99928278302868e-34,9.944314144942386e-34,8.996180589462087e-34,1.0791279864254445e-33,1.0,8.635862229296248e-34,1.6993920879737076e-33,2.0405991914665818e-33,9.537844327032243e-34,1.2403823335376648e-33,9.942098313749467e-34,1.0346987765100104e-33,1.6040092700963496e-33,1.1070291362137171e-33,1.376085449068256e-33,7.621370132207297e-34,8.579965238815341e-34,1.1399078043980449e-33,2.2269172776043118e-33,9.795293460558487e-34,7.458598350093952e-34,8.409523942118545e-34,1.2152618347327354e-33,9.816336992898346e-34,8.544260729985915e-34,1.400345234565343e-33,1.185129549281872e-33,1.9990488353421057e-33,1.1193871646947071e-33,1.4160536948973415e-33,8.364599950319048e-34,1.4815878646502127e-33,1.2393659751308937e-33,1.0631692849146916e-33,1.0345060443843467e-33,9.431568446655516e-34,1.1286137469520413e-33,8.848120016455981e-34,2.2261576573681802e-33,7.563196260005686e-34,7.0446761704158075e-34,9.66595217205046e-34,9.108563859028346e-34,8.710625021179327e-34,1.1337370360949475e-33,9.67410904172292e-34,1.0572590338547242e-33,9.847167564037481e-34,9.506684165093412e-34,8.620107248758697e-34,7.517336194858048e-34,2.0939161130711005e-33,1.4557696425580518e-33,1.409158186888788e-33,9.653333142505001e-34,1.5571052187440433e-33,1.0390437688618647e-33,1.0419028642641794e-33,1.0877401851052031e-33,8.892561992705211e-34,9.70076340709533e-34,1.1208681284197042e-33,1.5155471190304601e-33,1.3267197717494654e-33,1.1818707004196695e-33,1.0364219062659406e-33,1.1169712668166802e-33
2019,Facultad de Ingeniería,152736632689.66312,84236771007.45686,1.8831732052571133,70.61722682490331,18277718039.49787,0.3636902931202528,0.066771781019996,0.219408475276059,0.275694610637509,0.2664172428058243,0.4702988804749877,-0.0249395879145183,0.5515164864123512,0,1,-1,13,13,1.5460006806098205e-33,3.384226336859374e-33,2.195970228600358e-33,1.9943649232354584e-33,1.1261340320339408e-33,2.087367420414902e-33,1.4148527099719802e-33,1.5988801474852234e-33,1.5872291039082824e-33,1.146112873860977e-33,1.3501782348613875e-33,1.1787319912956133e-33,1.0220611247150955e-33,1.0,1.0776464464296455e-33,1.2449586197346485e-33,1.2965117673729987e-33,9.99928278302868e-34,2.190703982367545e-33,9.90167492060805e-34,1.0541427484704708e-33,1.0398822183626449e-33,1.5775888324306063e-33,1.781677668094682e-33,1.898561832416179e-33,1.3289512300521793e-33,2.012397627428543e-33,1.9739098302257396e-33,8.514570972119972e-34,2.1787562077571872e-33,2.172736913659934e-33,1.253877047489463e-33,1.653536979479022e-33,1.584611610569249e-33,1.2554375535667334e-33,1.426710067642913e-33,1.5781072477922104e-33,1.5362766480814916e-33,1.0302217795322929e-33,1.5350410515086679e-33,1.2031350434195409e-33,1.4229633990057433e-33,1.3188250784877213e-33,1.597891872368857e-33,1.2503256709146122e-33,1.152430656115491e-33,2.8496322308194003e-33,1.2831948011901858e-33,3.451374850906383e-33,2.2893644444090305e-33,1.0193262522591981e-33,1.5179060628826712e-33,1.2800098788103626e-33,1.637403781745645e-33,2.8049772567303357e-33,1.4684870572524746e-33,2.1134404313927846e-33,1.1503936416309239e-33,1.7500744043966102e-33,1.5125178619163924e-33,1.4761408212636323e-33,2.6586190703481923e-33,1.5022386321465985e-33,9.80498426642094e-34,1.18569995321569e-33,1.688275234546905e-33,1.2536520066996864e-33,2.0852946475020937e-33,1.7330985638413908e-33,1.2506227294990442e-33,1.385257627971059e-33,3.3966514962578814e-33,1.4874791387270173e-33,2.0260053545416736e-33,1.382970162910757e-33,2.2421415442723143e-33,1.93353920260082e-33,3.0029777698393645e-33,1.4393826135211649e-33,1.8609661270320564e-33
2020,Facultad de Ingeniería,172868788412.39478,98845423596.11948,1.0004271498652284,92.13108454441632,13292013158.99182,0.4177443090990554,0.0899128827406693,0.2734696334852868,0.1490916514301123,0.2844780562184949,0.4211417595605494,0.0241304447417068,0.5717945067117287,1,1,-1,22,22,1.4287653079742472e-33,1.7391797556144194e-33,1.8532497580958938e-33,1.4689351244378417e-33,1.6015248665610942e-33,1.6781491726731775e-33,1.0171422774900562e-33,2.6875362276614952e-33,3.208113699035453e-33,1.6510452583068183e-33,1.7089736431163078e-33,1.689164073259187e-33,1.1570454789848614e-33,1.5775888324306063e-33,1.091269897575211e-33,9.605334241712946e-34,1.819826389652672e-33,1.2403823335376648e-33,1.297861772914712e-33,1.0153718404774247e-33,1.454062001652385e-33,1.1508153528698433e-33,1.0,1.5361645668338866e-33,1.6413940381582525e-33,2.221195683948626e-33,1.344034408411639e-33,1.6765132254809886e-33,2.1916474441900967e-33,1.1228429714668306e-33,1.002044568773001e-33,1.561100540373693e-33,1.433034824391344e-33,1.5287992553604845e-33,1.481821466962756e-33,1.4995574368716243e-33,2.0474122528158604e-33,2.1397794083761832e-33,1.012697561951462e-33,1.5773222851414267e-33,2.245364803385844e-33,1.3859767968535034e-33,1.776438850320325e-33,1.2656234215889371e-33,2.584607629577113e-33,2.6188312022094434e-33,1.9211057640327032e-33,1.0886496721458851e-33,2.3916290222298632e-33,2.07093828605412e-33,1.0613609356593325e-33,2.0317140132787487e-33,1.4222886957660553e-33,1.176141956322071e-33,2.8386117781054614e-33,1.7228757983365183e-33,2.034062577840825e-33,2.0601162651824433e-33,1.6266564452172045e-33,1.4555393548891617e-33,1.011043950308436e-33,1.3008898858412387e-33,1.7949711496506153e-33,1.4358712603956134e-33,2.5581888626009865e-33,3.517690195439032e-33,2.5967094508738058e-33,1.992218305997002e-33,3.086246990152011e-33,1.1226491615780119e-33,1.7370492889804145e-33,1.7668123253867752e-33,1.3241031118510303e-33,1.6042360186330907e-33,1.693084812291889e-33,2.0860031206121263e-33,2.0883698530498884e-33,1.9004236382782866e-33,1.8365686678880022e-33,1.769471284256793e-33
2021,Facultad de Ingeniería,170917957588.87988,100258608118.94786,1.315355978287264,80.97222789212236,8913080223.272886,0.283442250787836,0.0832440809819905,0.1651398476758482,0.0950759859983023,0.2627816931045558,0.3677307169518314,0.0858142968511971,0.586589083635708,1,1,-1,44,44,2.0102801802973642e-33,1.9209651902664352e-33,1.7227395931716192e-33,2.086309857149621e-33,1.887467749468105e-33,2.6565996972785802e-33,2.2605237201302698e-33,3.0338766972410578e-33,1.629643558562499e-33,1.2936671458374817e-33,2.0143061141964398e-33,1.532043328576734e-33,1.5770351783249378e-33,1.2503256709146122e-33,1.2618644785287836e-33,1.1028063958220172e-33,3.171210754808344e-33,1.4815878646502127e-33,1.4139149244194209e-33,1.4497466527404333e-33,2.1462368192587183e-33,1.630772558760058e-33,2.584607629577113e-33,2.3838814265451197e-33,1.920415760862823e-33,1.6719630025321087e-33,1.26554908371526e-33,1.3156947347947326e-33,2.2655548530822903e-33,1.1282464646729467e-33,1.0076192022520621e-33,1.6763607778329473e-33,1.5678056038853602e-33,1.7638227850579742e-33,1.2553839579562611e-33,1.612238499986544e-33,1.792156679258322e-33,1.595541568962406e-33,1.3750435944247622e-33,3.0766083280891675e-33,1.9345992572455866e-33,1.4909149450874973e-33,3.410620143657163e-33,1.4470755202687708e-33,1.0,3.7807950147214545e-33,1.2541477517890507e-33,1.517528238696031e-33,1.671702755103616e-33,2.28811573116532e-33,1.3050438465301294e-33,3.308359608291751e-33,2.1316563476199864e-33,1.3049527334458963e-33,1.8928914103463517e-33,1.9931619575471676e-33,2.2362183876491733e-33,1.7967880447926208e-33,1.8856733443023398e-33,1.3559915129904538e-33,1.0727289319106528e-33,1.9207900071782396e-33,2.1979973916417548e-33,1.730572375428429e-33,2.390664430002595e-33,1.896746592586043e-33,2.2306847894608386e-33,2.9664966392461103e-33,2.487786881041476e-33,1.769223163356913e-33,2.3391209358909138e-33,1.6631992405440535e-33,1.2408834144853829e-33,1.7742495457760084e-33,2.177813421701935e-33,2.5480409592716647e-33,2.4660320179140937e-33,1.5967799860145027e-33,4.261401518863953e-33,2.3272986877175387e-33
2022,Facultad de Ingeniería,168466708271.0406,93764804459.5067,0.9898916466782232,118.08469064075364,11326319716.957417,0.2657048799436566,0.0453507602655908,0.1593738434452415,0.2634845343835274,0.2382816463130257,0.4960164434037306,0.0236822082261488,0.5565776492091931,1,1,-1,32,32,2.2705425408653777e-33,2.086598925877329e-33,2.6954095629750267e-33,2.3601757926684248e-33,1.9759095946513998e-33,2.0853716279653424e-33,1.711140926737372e-33,1.4910564250721527e-33,1.389120045819491e-33,2.1564903148862874e-33,1.8681182090325686e-33,1.1742963529451082e-33,1.4698290679606245e-33,1.653536979479022e-33,1.2557430649923365e-33,1.470925736820739e-33,1.974135690210561e-33,9.795293460558487e-34,1.6534633092584423e-33,9.50048472163281e-34,1.3517602539928899e-33,1.7617866099047963e-33,1.433034824391344e-33,2.276102549435099e-33,1.9936972767525065e-33,1.4638434557248472e-33,1.0212654505398871e-33,1.7596113998142617e-33,1.9195082642543415e-33,1.0332736224964304e-33,1.2451082485769873e-33,1.9961375414444526e-33,1.0,1.341339247485716e-33,2.086171973665461e-33,1.6218281000711423e-33,1.9338020068563315e-33,2.3533013043269244e-33,1.9396701000211815e-33,1.5231527703598353e-33,1.9170223695349834e-33,1.1700640486058846e-33,1.2869297963583481e-33,1.5759806290457534e-33,1.5678056038853602e-33,1.1372207526293604e-33,1.6615630332053405e-33,1.809307919345337e-33,1.1881805095556626e-33,1.477838608593142e-33,1.4475691188344103e-33,2.1904405083590367e-33,1.977623197842844e-33,1.2668029867200708e-33,1.405629072715279e-33,3.551439752323016e-33,1.829473579248962e-33,1.4177577521871603e-33,1.9114681355728462e-33,1.781107934323846e-33,1.664352149108927e-33,1.4441443385085578e-33,1.4470013683676162e-33,1.437793589597284e-33,1.0490543702505079e-33,1.3288175374819968e-33,1.204131497703394e-33,1.809113458314788e-33,1.3457264053482363e-33,1.990497935743146e-33,2.7035465105509318e-33,1.4367193958476113e-33,1.5507157802612076e-33,1.2773896298733842e-33,1.4240307136312315e-33,2.9676857043379953e-33,1.9167710987107395e-33,2.9723930346467412e-33,2.3750446566451877e-33,2.1397200360346195e-33
2023,Facultad de Ingeniería,171339712261.73602,112901246195.93803,1.2783748458121014,55.5027045055618,8566619224.657822,0.2960411782713723,0.0728410937854366,0.1211056034239775,0.2084905854188207,0.2419963341065992,0.4060299214854815,-0.0197345342822716,0.6589321570907727,1,1,-1,23,23,1.2308219859973044e-33,1.7384572285651093e-33,1.4100442193326255e-33,1.8555338666438814e-33,1.3586568847048046e-33,1.4317634120487523e-33,1.8311646464842302e-33,1.922699046268829e-33,1.0493164419506139e-33,9.882174689007941e-34,1.3058536478473154e-33,9.240521357277044e-34,1.4744450248656441e-33,1.781677668094682e-33,8.199396886129838e-34,1.0438095885920396e-33,1.368816375245561e-33,9.942098313749467e-34,1.7570547472249533e-33,1.590903335330235e-33,1.4080058365306017e-33,1.3520982592432166e-33,1.5361645668338866e-33,1.0,1.441416654268911e-33,1.0881141276752127e-33,7.895207096892244e-34,1.5586483998460863e-33,1.1736410393617216e-33,9.250626582027354e-34,8.178353037951756e-34,1.3430660237553526e-33,2.276102549435099e-33,1.3870734078566372e-33,1.2809153483593393e-33,1.55682358679011e-33,1.2730747528417317e-33,1.866851822551722e-33,1.095238306538961e-33,1.603497962724867e-33,1.2216675240820405e-33,1.2646838926158243e-33,1.4698518335874813e-33,1.4648049747024372e-33,2.3838814265451197e-33,1.3450684979956216e-33,1.683356534971723e-33,1.2713086025998936e-33,1.2338001833338774e-33,1.5893957463411037e-33,7.934269919710119e-34,2.2026359659257657e-33,1.4332921750943957e-33,1.1505868040849633e-33,1.6946324564779363e-33,2.9101406300377975e-33,1.754222156968715e-33,1.073391198609971e-33,2.826624861516517e-33,1.1598047155770926e-33,1.0620337357965896e-33,1.6494192509407106e-33,1.1555674213729672e-33,9.65290898977419e-34,1.0264052315450263e-33,1.1796464328900634e-33,1.2083917075839214e-33,2.1568333146803318e-33,1.4692709302510312e-33,1.623841367505878e-33,1.7164358973767594e-33,1.2322547368373872e-33,8.582607056843295e-34,1.3716429970335032e-33,1.364764692798081e-33,2.7867716555334047e-33,1.5777382862916388e-33,1.7243061262536777e-33,2.2072205830077502e-33,1.6085505755918263e-33
2024,Facultad de Ingeniería,168213524094.487,91962499983.26688,0.772001314366346,104.18975036425134,7863329552.152785,0.33506244947837,0.0802547810791274,0.2339370428048,0.1251620611962156,0.2399877466096606,0.5687529073910629,0.1215468155287737,0.5467009889859435,1,1,-1,28,28,1.4605617007347682e-33,1.2918172419720036e-33,1.4080701649107229e-33,1.3242465068537198e-33,2.631487502364422e-33,1.5307042999434367e-33,1.1957223815065552e-33,1.568564188093934e-33,1.2897585905484221e-33,1.568122587681341e-33,1.6949974423553697e-33,1.4013641699632186e-33,1.414868539230576e-33,8.514570972119972e-34,9.545046778919514e-34,7.057067137489637e-34,2.0517325945486223e-33,7.621370132207297e-34,1.2592028447129051e-33,6.857517754272914e-34,1.3274530979764432e-33,1.4423034005109387e-33,2.1916474441900967e-33,1.1736410393617216e-33,1.5479728433200683e-33,1.378100284755899e-33,8.791361203645638e-34,1.1482502440821619e-33,1.0,6.684320964685936e-34,7.21857844995477e-34,9.930134990132961e-34,1.9195082642543415e-33,1.433527476832631e-33,1.1540484293846463e-33,1.0611481300663928e-33,1.4573835456586335e-33,2.3327702843812983e-33,1.0566780319836244e-33,1.3682648959826209e-33,1.749165372907568e-33,9.12521298796002e-34,1.2681503007403935e-33,1.1933548649113738e-33,2.2655548530822903e-33,1.5328982440223733e-33,8.302618074087985e-34,1.0814611217147553e-33,1.1039930298501735e-33,1.729767206926039e-33,1.145448761901037e-33,1.6030302395952206e-33,1.5564517724406976e-33,1.4167671590768929e-33,1.3045678270686959e-33,1.9249378673358427e-33,1.4410415199823594e-33,1.278697647988146e-33,1.3045439770683648e-33,1.1927515471114235e-33,8.521056154495537e-34,9.300451445083611e-34,1.4186449501102476e-33,1.4261605079761718e-33,1.182204151513811e-33,1.4151479413403496e-33,1.1699572514762238e-33,1.5472583156475207e-33,1.2867199934419385e-33,1.3960572462798008e-33,1.6293373990510943e-33,1.0903822247446532e-33,1.3544691287404475e-33,1.1384819925690064e-33,1.6044482017567664e-33,1.389211581492172e-33,1.982923775851649e-33,1.2777840293636493e-33,1.9176066123842938e-33,1.5864253424665e-33
2025,Facultad de Ingeniería,186669848767.06537,97254669294.58565,1.4858805119463838,145.04553453162595,11239676542.986418,0.3299870072432586,0.069486945957436,0.1918038034236763,0.1401071412489639,0.2422926437351181,0.3554850232480702,0.0754589969486714,0.5209982754951722,0,1,-1,16,16,2.2815295505193774e-33,2.9970053328214597e-33,2.8354026341524214e-33,2.2199252059597185e-33,1.7889762444466694e-33,2.7486025715280416e-33,1.6012998477438118e-33,3.0861137661917165e-33,2.075176476001966e-33,2.1485468513792476e-33,1.966688160351456e-33,1.553982205427203e-33,1.9419107197807765e-33,1.2965117673729987e-33,1.22267516371658e-33,1.5644795648740263e-33,1.0,1.0791279864254445e-33,1.2908145435274507e-33,7.727229346108322e-34,1.6749958241288925e-33,1.6979996453996548e-33,1.819826389652672e-33,1.368816375245561e-33,2.7874848137639446e-33,1.8726825315361127e-33,1.714822153365703e-33,1.0975294984520763e-33,2.0517325945486223e-33,1.3582318229034133e-33,1.416060165180486e-33,1.550179076714501e-33,1.974135690210561e-33,1.207941966628503e-33,1.948446976219637e-33,1.5518199442505645e-33,4.809636712513932e-33,1.661868346095043e-33,2.0016345074630938e-33,2.6790417067158456e-33,2.165772912632132e-33,1.4453043143080965e-33,3.867370192227698e-33,1.1925506546335906e-33,3.171210754808344e-33,4.569751236285801e-33,1.3038593549312683e-33,1.4415992601927593e-33,1.3831903010382073e-33,1.8022162719736156e-33,2.083673110696276e-33,1.9832039654810205e-33,3.241631400845471e-33,1.29716783448871e-33,1.758945698025585e-33,1.9372847339673057e-33,1.692260332530527e-33,1.9179775076817424e-33,1.5783383089427154e-33,2.2918555356606383e-33,1.296814294764016e-33,2.3058557188155925e-33,2.917084501811597e-33,1.742328946045224e-33,2.2349319968848054e-33,1.5388776033742873e-33,1.9449051797816106e-33,2.63684876894036e-33,2.455156771532234e-33,1.6711892496664344e-33,5.0601413655657776e-33,1.9205078224019628e-33,1.623673192839447e-33,1.5246801426977176e-33,1.7423161881567567e-33,1.930268900857908e-33,3.6159765899257195e-33,2.4349919612630612e-33,2.94608602941279e-33,2.2526020831733727e-33
